key_resp.corr,key_resp.rt,,,,,,
0,None,,seqRT,ranRT,,Mean of seqRT,Mean of ranRT
0,1.9382837,,0.5531,0.6276395,,0.56639342,0.796397687
1,1.1794253,,0.678,0.9744609,,,
0,2.3608811,,0.6789,0.8233025,,Difference of RT's,
0,1.6888996,,0.0763,0.8655228,,0.23000458,
0,1.473711,,1.6888996,0.5146303,,,
1,1.3061586,,0.034,0.4805486,,,
0,1.6393624,,0.074,0.3052785,,,
0,0.7904183,,0.5648,0.4880499,,,
0,0.8727816,,0.03678,0.458055,,,
1,1.882824,,0.8542,0.5615171,,,
0,0.6311431,,0.08132,0.4426013,,,
0,2.2897809,,0.065,0.6658201,,,
0,1.1025908,,0.0523,0.98708,,,
1,1.0814141,,0.0145,0.5692629,,,
0,0.3930375,,0.986,0.7609,,,
0,0.554226,,0.054,0.0453,,,
0,None,,0.0329,0.056,,,
1,None,,0.058,1.5094784,,,
0,1.5266058,,0.0798,1.5060009,,,
0,0.6449514,,0.049,0.0543,,,
0,0.2733681,,0.6449514,0.789,,,
1,None,,0.2733681,0.0609,,,
0,0.3589366,,1.45643,0.67054,,,
0,1.1496384,,0.3589366,0.3201,,,
0,0.9876418,,1.1496384,0.77601,,,
1,0.5541993,,0.9876418,0.02236,,,
0,0.4656488,,0.5541993,0.6754,,,
0,0.6240565,,0.4656488,2.1805383,,,
0,0.4916135,,0.6240565,0.9398572,,,
1,0.2891118,,0.4916135,2.364062,,,
0,0.4504567,,0.2891118,0.0078,,,
0,0.9414218,,0.4504567,0.60907,,,
0,3.5276122,,0.9414218,0.564,,,
1,1.0704632,,3.5276122,0.734,,,
0,0.5050137,,1.0704632,0.5406,,,
0,1.4608628,,0.5050137,0.5179218,,,
0,2.1481045,,1.4608628,0.5401,,,
1,1.5725943,,2.1481045,0.1028,,,
0,0.4282321,,1.5725943,0.728345,,,
0,1.9323045,,0.4282321,0.6309,,,
0,0.3916729,,1.9323045,1.7397313,,,
1,0.6745585,,0.3916729,2.2486223,,,
0,1.1739502,,0.6745585,0.789,,,
0,1.644616,,1.1739502,0.009,,,
0,0.4472448,,1.644616,0.9806,,,
1,0.3618408,,0.4472448,0.674,,,
0,1.593478,,0.3618408,0.6621,,,
0,2.6601318,,1.593478,0.5409,,,
0,0.5708584,,0.5409,0.03409,,,
1,0.4134343,,0.5708584,0.7098,,,
0,0.7719502,,0.4134343,0.6078,,,
0,0.7328361,,0.7719502,0.4509,,,
0,0.5978205,,0.7328361,0.8801,,,
1,0.9825919,,0.5978205,0.1198,,,
0,0.6354837,,0.9825919,0.2278,,,
0,0.3916623,,0.6354837,0.77109,,,
0,0.3739193,,0.3916623,0.8812,,,
1,0.9019125,,0.3739193,0.987,,,
0,0.5516439,,0.9019125,0.526,,,
0,0.3924755,,0.5516439,0.4765,,,
0,0.3288103,,0.3924755,0.07134,,,
1,0.3497059,,0.3288103,0.0087,,,
0,0.5777067,,0.3497059,0.9567,,,
0,0.3633376,,0.5777067,0.0564,,,
0,0.7283194,,0.3633376,0.864,,,
1,0.3601719,,0.7283194,1.714277,,,
0,0.6603354,,0.3601719,1.9482193,,,
0,0.6178173,,0.6603354,0.0971,,,
0,1.3976797,,0.6178173,0.67142,,,
1,1.0535211,,0.7509,0.0551,,,
0,0.7467107,,0.092,0.9756,,,
0,0.9332035,,0.7467107,1.9938995,,,
0,0.381437,,0.9332035,0.97534,,,
1,0.9086412,,0.381437,1.6059059,,,
0,0.7955988,,0.9086412,0.01159,,,
0,0.383396,,0.7955988,0.007322,,,
0,2.4933387,,0.383396,0.98076,,,
1,0.4498116,,0.7643009,0.8975,,,
0,7.2765185,,0.4498116,1.0420933,,,
0,0.6754745,,0.670945,2.3291449,,,
0,0.58858,,0.6754745,0.3259,,,
1,1.4131442,,0.58858,0.9768,,,
0,0.4754748,,0.75032,0.912007,,,
0,11.718007,,0.4754748,0.0793211,,,
0,0.420859,,0.65009,0.1801611,,,
1,0.9566786,,0.420859,0.134916,,,
0,1.1175164,,0.9566786,0.3106213,,,
0,0.9747127,,0.1102,0.1801242,,,
0,0.8905018,,0.9747127,0.0482935,,,
1,0.5312798,,0.8905018,0.1163454,,,
0,0.9825395,,0.5312798,0.2013458,,,
0,0.5440742,,0.9825395,0.1358781,,,
0,0.5461728,,0.5440742,0.3818805,,,
1,0.3345218,,0.5461728,0.348009,,,
0,2.6529514,,0.3345218,0.09278,,,
0,1.0738598,,0.3091,1.9107216,,,
0,0.4828349,,0.1709,1.0311577,,,
1,0.4501125,,0.4828349,0.62387,,,
0,0.390871,,0.4501125,0.0467,,,
0,0.3617413,,0.390871,0.73346,,,
0,0.4033541,,0.3617413,0.06875,,,
1,0.3829225,,0.4033541,0.926018,,,
0,0.8494292,,0.3829225,2.173648,,,
0,0.7234357,,0.8494292,1.4496538,,,
0,0.388321,,0.7234357,0.9474677,,,
1,0.3886469,,0.388321,1.1904959,,,
0,0.9056237,,0.3886469,1.0050331,,,
0,0.6432089,,0.9056237,1.4141312,,,
0,0.3051995,,0.6432089,1.2042431,,,
1,0.3544042,,0.3051995,1.1231433,,,
0,0.4331099,,0.3544042,0.7638,,,
0,1.5050759,,0.4331099,0.8399465,,,
0,0.4233231,,0.5089,1.5651276,,,
1,0.3492305,,0.4233231,1.8102858,,,
0,0.9713613,,0.3492305,0.9652983,,,
0,0.4212869,,0.9713613,1.063671,,,
0,0.3235093,,0.4212869,2.3309469,,,
1,0.755543,,0.3235093,1.0348972,,,
0,4.2845829,,0.755543,5.257036,,,
0,2.4123228,,0.6305,0.9877565,,,
0,0.4302989,,0.6503,2.165495,,,
1,0.8002327,,0.4302989,1.1074759,,,
0,1.2692972,,0.8002327,2.3709437,,,
0,0.3907824,,0.6098,1.2656774,,,
0,0.4421731,,0.3907824,1.7775326,,,
1,0.3606929,,0.4421731,1.075699,,,
0,0.3052667,,0.3606929,1.6984965,,,
0,0.3871185,,0.3052667,0.9025981,,,
0,0.3637068,,0.3871185,1.1217298,,,
1,0.3899901,,0.3637068,0.9268371,,,
0,0.3428694,,0.3899901,1.5010613,,,
0,3.1521973,,0.3428694,0.5152425,,,
0,0.9827718,,0.6098,0.9845093,,,
1,0.3929355,,0.9827718,1.0177052,,,
0,3.5604208,,0.3929355,0.4867639,,,
0,1.3260114,,0.709,1.1546582,,,
0,1.0045121,,0.7645,0.8753624,,,
1,1.0256755,,0.43242,0.9536011,,,
0,0.9719376,,0.0546,0.9338452,,,
0,0.4217123,,0.9719376,0.8810049,,,
0,0.3911896,,0.4217123,0.8403218,,,
1,0.3599077,,0.3911896,0.7683832,,,
0,0.3582882,,0.3599077,0.4707705,,,
0,0.3509096,,0.3582882,1.2692037,,,
0,1.7360775,,0.3509096,1.0984568,,,
1,0.8730444,,0.054,0.9995967,,,
0,None,,0.8730444,0.5375393,,,
0,0.4552241,,0.5401,2.3955834,,,
0,0.3616967,,0.4552241,0.8954389,,,
1,0.7503073,,0.3616967,1.8025147,,,
0,0.4294655,,0.7503073,0.4657147,,,
0,0.383726,,0.4294655,1.0571506,,,
0,0.3641502,,0.383726,2.0417134,,,
1,1.0474491,,0.3641502,1.8947504,,,
0,1.3240368,,0.86011,1.0046319,,,
0,1.0151954,,0.306,2.3684526,,,
0,1.2488984,,0.0542,3.7725034,,,
1,2.2250086,,0.7054,1.9054159,,,
0,1.9449309,,0.0432,1.1397387,,,
0,1.481888,,0.403,0.005908,,,
0,1.9635878,,0.6086,1.698307,,,
1,0.445075,,0.0678,0.8797,,,
0,0.445932,,0.445075,1.1556398,,,
0,0.516674,,0.445932,1.4952956,,,
0,0.3294091,,0.516674,2.1287307,,,
1,0.4014614,,0.3294091,0.0324841,,,
0,0.3218588,,0.4014614,0.0236265,,,
0,0.6142283,,0.3218588,0.0835487,,,
0,0.4101684,,0.6142283,0.0390373,,,
1,0.4550415,,0.4101684,0.1949777,,,
0,1.0436563,,0.4550415,0.3573809,,,
0,0.624326,,0.5402,0.3404844,,,
0,0.3498842,,0.624326,0.0841965,,,
1,0.324078,,0.3498842,0.14291,,,
0,0.49519,,0.324078,0.0356245,,,
0,0.3102462,,0.49519,0.0542312,,,
0,0.8377302,,0.3102462,0.0549562,,,
1,1.9063336,,0.8377302,0.0453824,,,
0,2.045622,,0.789,0.037,,,
0,0.7903016,,0.5076,0.0618871,,,
0,0.7230367,,0.7903016,0.0631322,,,
1,0.4219716,,0.7230367,0.2319622,,,
0,0.5074464,,0.4219716,0.378221,,,
0,1.0206627,,0.5074464,0.2185797,,,
0,0.3864802,,0.54021,0.1272607,,,
1,1.5754995,,0.3864802,0.0705336,,,
0,0.5782124,,0.05789,1.886,,,
0,0.9729801,,0.5782124,0.1352327,,,
0,0.3412625,,0.9729801,0.1999371,,,
1,0.7285479,,0.3412625,0.0337555,,,
0,1.2422149,,0.7285479,0.3223878,,,
0,1.4145729,,0.4502,0.166211,,,
0,1.4798397,,0.0567,0.2079783,,,
1,0.7518943,,0.0564,0.1120724,,,
0,2.1758051,,0.7518943,0.143589,,,
0,0.4449356,,0.984,0.0363727,,,
0,0.7883465,,0.4449356,0.0357486,,,
1,0.571767,,0.7883465,0.0283201,,,
0,0.6276395,,0.571767,0.097,,,
0,0.9744609,,0.0639606,0.4496738,,,
0,0.8233025,,,,,,
1,0.8655228,,,,,,
0,0.5146303,,,,,,
0,0.4805486,,,,,,
0,0.3052785,,,,,,
1,0.4880499,,,,,,
0,0.458055,,,,,,
1,0.5615171,,,,,,
0,0.4426013,,,,,,
0,0.6658201,,,,,,
1,2.5705812,,,,,,
1,0.5692629,,,,,,
0,3.3656457,,,,,,
0,1.8369494,,,,,,
0,4.8342734,,,,,,
0,1.5094784,,,,,,
0,1.5060009,,,,,,
0,2.4116828,,,,,,
1,2.7558622,,,,,,
1,2.7960051,,,,,,
0,2.8738337,,,,,,
0,1.8975321,,,,,,
0,1.6370996,,,,,,
0,2.0814611,,,,,,
0,2.7892378,,,,,,
1,2.1805383,,,,,,
1,0.9398572,,,,,,
0,2.364062,,,,,,
0,2.1087258,,,,,,
1,2.1192165,,,,,,
0,1.8752414,,,,,,
1,2.1612968,,,,,,
0,7.3597524,,,,,,
0,0.5179218,,,,,,
0,1.5565853,,,,,,
1,1.6987421,,,,,,
0,0.728345,,,,,,
0,2.0486363,,,,,,
0,1.7397313,,,,,,
0,2.2486223,,,,,,
0,1.4254685,,,,,,
0,1.701121,,,,,,
0,2.4646837,,,,,,
1,1.8496693,,,,,,
0,2.7217615,,,,,,
1,2.755391,,,,,,
0,2.4139033,,,,,,
0,3.5949791,,,,,,
1,3.8251611,,,,,,
0,3.3634088,,,,,,
0,3.2701447,,,,,,
1,5.014972,,,,,,
1,1.7721428,,,,,,
0,1.809605,,,,,,
0,2.980858,,,,,,
0,0.9389342,,,,,,
1,1.8718012,,,,,,
1,2.6970309,,,,,,
0,1.6637453,,,,,,
0,2.0046448,,,,,,
0,1.1932873,,,,,,
0,1.7896677,,,,,,
0,3.0692747,,,,,,
0,1.714277,,,,,,
0,1.9482193,,,,,,
0,10.4308951,,,,,,
1,3.6697955,,,,,,
0,2.0825186,,,,,,
1,4.419203,,,,,,
0,1.9938995,,,,,,
1,3.1356649,,,,,,
1,1.6059059,,,,,,
0,3.3770524,,,,,,
0,1.3390183,,,,,,
0,2.0253809,,,,,,
1,2.6258772,,,,,,
1,1.0420933,,,,,,
0,2.3291449,,,,,,
0,2.3382762,,,,,,
0,2.9732164,,,,,,
0,2.9120766,,,,,,
1,0.0793211,,,,,,
0,0.1801611,,,,,,
0,0.134916,,,,,,
0,0.3106213,,,,,,
1,0.1801242,,,,,,
1,0.0482935,,,,,,
1,0.1163454,,,,,,
1,0.2013458,,,,,,
0,0.1358781,,,,,,
0,0.3818805,,,,,,
0,3.4800393,,,,,,
0,2.0933037,,,,,,
0,1.9107216,,,,,,
0,1.0311577,,,,,,
1,1.6276809,,,,,,
1,1.049973,,,,,,
1,1.7377205,,,,,,
0,1.1006677,,,,,,
0,0.926018,,,,,,
0,2.173648,,,,,,
0,1.4496538,,,,,,
0,0.9474677,,,,,,
0,1.1904959,,,,,,
0,1.0050331,,,,,,
0,1.4141312,,,,,,
1,1.2042431,,,,,,
0,1.1231433,,,,,,
0,7.2882571,,,,,,
0,0.8399465,,,,,,
0,1.5651276,,,,,,
0,1.8102858,,,,,,
0,0.9652983,,,,,,
0,1.063671,,,,,,
0,2.3309469,,,,,,
0,1.0348972,,,,,,
1,5.257036,,,,,,
0,0.9877565,,,,,,
0,2.165495,,,,,,
0,1.1074759,,,,,,
0,2.3709437,,,,,,
0,1.2656774,,,,,,
0,1.7775326,,,,,,
0,1.075699,,,,,,
1,1.6984965,,,,,,
0,0.9025981,,,,,,
1,1.1217298,,,,,,
0,0.9268371,,,,,,
0,1.5010613,,,,,,
0,0.5152425,,,,,,
1,0.9845093,,,,,,
0,1.0177052,,,,,,
0,0.4867639,,,,,,
0,1.1546582,,,,,,
0,0.8753624,,,,,,
1,0.9536011,,,,,,
0,0.9338452,,,,,,
0,0.8810049,,,,,,
0,0.8403218,,,,,,
0,0.7683832,,,,,,
0,0.4707705,,,,,,
0,1.2692037,,,,,,
0,1.0984568,,,,,,
0,0.9995967,,,,,,
0,0.5375393,,,,,,
1,2.3955834,,,,,,
0,0.8954389,,,,,,
0,1.8025147,,,,,,
0,0.4657147,,,,,,
0,1.0571506,,,,,,
0,2.0417134,,,,,,
1,1.8947504,,,,,,
0,1.0046319,,,,,,
1,2.3684526,,,,,,
0,3.7725034,,,,,,
0,1.9054159,,,,,,
0,1.1397387,,,,,,
0,5.006519,,,,,,
0,1.698307,,,,,,
1,115.3534486,,,,,,
0,1.1556398,,,,,,
0,1.4952956,,,,,,
1,2.1287307,,,,,,
1,0.0324841,,,,,,
0,0.0236265,,,,,,
0,0.0835487,,,,,,
1,0.0390373,,,,,,
0,0.1949777,,,,,,
0,0.3573809,,,,,,
1,0.3404844,,,,,,
1,0.0841965,,,,,,
0,0.14291,,,,,,
0,0.0356245,,,,,,
1,0.0542312,,,,,,
0,0.0549562,,,,,,
0,0.0453824,,,,,,
0,None,,,,,,
0,0.0618871,,,,,,
0,0.0631322,,,,,,
0,0.2319622,,,,,,
0,0.378221,,,,,,
0,0.2185797,,,,,,
1,0.1272607,,,,,,
0,0.0705336,,,,,,
0,None,,,,,,
0,0.1352327,,,,,,
1,0.1999371,,,,,,
0,0.0337555,,,,,,
0,0.3223878,,,,,,
1,0.166211,,,,,,
0,0.2079783,,,,,,
0,0.1120724,,,,,,
0,0.143589,,,,,,
0,0.0363727,,,,,,
0,0.0357486,,,,,,
0,0.0283201,,,,,,
0,None,,,,,,
0,0.0639606,,,,,,
0,0.4496738,,,,,,
